Release Year,Title,Genre,MPAA,IMDB Rating,Budget,Gross,Runtime,Status
1996,The Rock,"Action, Adventure, Thriller",R,7.4/10,70000000,134006721,136,Unwatched
1999,8MM,"Crime, Drama, Mystery",R,6.5/10,40000000,2391380,123,Unwatched
2002,Sonny,"Crime, Drama",R,5.7/10,0,19782,110,Unwatched
1994,Trapped in Paradise,"Adventure, Comedy, Crime",PG-13,5.9/10,0,5777916,111,Unwatched
1993,Red Rock West,"Crime, Drama, Thriller",R,7.0/10,8000000,2502551,98,Unwatched
2009,Astro Boy,"Animation, Action, Family",PG,6.4/10,40000000,3378087,94,Unwatched
1994,It Could Happen to You,"Comedy, Drama, Romance",PG,6.3/10,0,300230,101,Unwatched
2011,Ghost Rider: Spirit of Vengeance,"Action, Fantasy, Thriller",PG-13,4.3/10,57000000,51774002,96,Unwatched
2003,Matchstick Men,"Comedy, Crime, Drama",PG-13,7.3/10,0,54290,116,Unwatched
2000,Gone in Sixty Seconds,"Action, Crime, Thriller",PG-13,6.5/10,90000000,1234703248,118,Unwatched
1987,Raising Arizona,"Comedy, Crime, Drama",PG-13,7.4/10,6000000,22847564,94,Unwatched
2007,Next,"Action, Sci-Fi, Thriller",PG-13,6.2/10,70000000,17993461,96,Unwatched
1987,Moonstruck,"Comedy, Drama, Romance",PG,7.1/10,0,80640528,102,Unwatched
1995,Leaving Las Vegas,"Drama, Romance",R,7.6/10,3600000,31968347,111,Unwatched
2014,Dying of the Light,"Drama, Thriller",R,4.3/10,15000000,0,94,Unwatched
2010,The Sorcerer's Apprentice,"Action, Adventure, Comedy",PG,6.2/10,150000000,63143812,109,Unwatched
2002,Windtalkers,"Action, Drama, War",R,6.0/10,115000000,368655,134,Unwatched
2002,Adaptation.,"Comedy, Drama",R,7.7/10,19000000,89971,114,Unwatched
2010,Kick-Ass,"Action, Comedy",R,7.7/10,30000000,48043505,117,Unwatched
1992,Honeymoon in Vegas,"Comedy, Romance, Thriller",PG-13,5.8/10,25000000,35208854,96,Unwatched
2011,Drive Angry,"Action, Comedy, Fantasy",R,5.5/10,50000000,10706786,104,Unwatched
2009,Bad Lieutenant: Port of Call New Orleans,"Crime, Drama",R,6.7/10,25000000,532700,122,Unwatched
2009,Knowing,"Action, Drama, Mystery",PG-13,6.2/10,50000000,79948113,121,Unwatched
2015,Snowden,"Biography, Drama, Thriller",Unrated,Not Rated Yet,49967762,0,0,Unwatched
2013,The Frozen Ground,"Biography, Crime, History",R,6.4/10,27220000,0,105,Unwatched
1995,Kiss of Death,"Action, Crime, Thriller",R,5.9/10,40000000,14942422,101,Unwatched
2015,The Runner,,Unrated,Not Rated Yet,6000000,0,0,Unwatched
2011,Season of the Witch,"Action, Adventure, Fantasy",PG-13,5.4/10,40000000,24823283,95,Unwatched
2000,The Family Man,"Comedy, Drama, Fantasy",PG-13,6.7/10,60000000,596451055,125,Unwatched
2014,Outcast,"Action, Adventure",Unrated,4.5/10,0,0,99,Unwatched
2005,Lord of War,"Crime, Drama, Thriller",R,7.6/10,50000000,148101,122,Unwatched
1993,Amos &amp; Andrew,"Comedy, Crime",PG-13,5.5/10,0,9745803,96,Unwatched
1998,City of Angels,"Drama, Fantasy, Romance",PG-13,6.7/10,55000000,78745923,114,Unwatched
2013,Joe,Drama,R,6.9/10,4000000,371897,117,Unwatched
2014,Left Behind,"Action, Sci-Fi, Thriller",PG-13,3.1/10,16000000,13998282,110,Unwatched
2007,National Treasure: Book of Secrets,"Action, Adventure, Mystery",PG,6.5/10,130000000,219961501,124,Unwatched
1986,The Boy in Blue,"Biography, Drama, Sport",R,5.3/10,7716000,275000,100,Unwatched
2006,The Wicker Man,"Horror, Mystery, Thriller",PG-13,3.6/10,40000000,1391887,102,Unwatched
1997,Face/Off,"Action, Crime, Sci-Fi",R,7.3/10,80000000,6163073,138,Unwatched
2011,Seeking Justice,"Action, Drama, Thriller",R,6.2/10,17000000,41081,105,Unwatched
2007,Grindhouse,"Action, Horror, Thriller",R,7.7/10,53000000,25031037,191,Unwatched
2012,Stolen,"Action, Crime, Drama",R,5.5/10,35000000,183125,96,Unwatched
1999,Bringing Out the Dead,"Comedy, Drama, Thriller",R,6.8/10,55000000,967925,121,Unwatched
2008,Bangkok Dangerous,"Action, Crime, Thriller",R,5.4/10,40000000,15279680,99,Unwatched
