Release Year,Title,Genre,MPAA,IMDB Rating,Budget,Gross,Runtime,Status,splits,nutPunches
2013,Enemies Closer,"Action, Thriller",R,5.2/10,5000000,0,125,Unwatched,,
2004,Wake of Death,"Action, Drama",R,5.8/10,14000000,0,131,Unwatched,,
2006,Sinav,"Comedy, Drama",Unrated,6.6/10,0,0,120,Unwatched,,
2001,Replicant,"Action, Sci-Fi, Thriller",R,5.3/10,17000000,0,140,Unwatched,,
1993,Hard Target,"Action, Thriller",R,6.1/10,18000000,32534954,137,watched,2,0
1998,Legionnaire,"Action, Adventure, Drama",R,5.4/10,20000000,0,139,Unwatched,,
1993,Nowhere to Run,"Action, Crime, Drama",R,5.5/10,15000000,22189039,134,Unwatched,,
2016,Kung Fu Panda 3,"Animation, Action, Adventure",PG,7.2/10,145000000,143523463,135,Unwatched,,
2011,Kung Fu Panda 2,"Animation, Action, Adventure",PG,7.3/10,150000000,165230261,130,Unwatched,,
2014,Full Love,"Action, Drama",Unrated,7.4/10,5000000,0,148,Unwatched,,
2001,The Order,"Action, Adventure, Comedy",R,4.6/10,12000000,0,129,Unwatched,,
2008,JCVD,"Comedy, Crime, Drama",R,7.2/10,10000000,470691,137,Unwatched,,
1994,Timecop,"Action, Crime, Sci-Fi",R,5.8/10,27000000,44450000,139,Unwatched,,
2013,Welcome to the Jungle,"Action, Adventure, Comedy",NOT RATED,5.0/10,3500000,87397,135,Watched,0,0
1999,Universal Soldier: The Return,"Action, Sci-Fi",R,4.1/10,45000000,10431220,123,Unwatched,,
2014,JCVD's Make My Movie Challenge,"Short, Comedy",Unrated,8.4/10,0,0,0,Unwatched,,
1995,Street Fighter: The Movie,Action,Unrated,4.0/10,0,0,0,Unwatched,,
1996,The Quest,"Action, Adventure, Thriller",PG-13,5.5/10,30000000,21600000,135,Unwatched,,
1984,Missing in Action,"Action, Adventure, Drama",R,5.3/10,2550000,22812500,141,Unwatched,,
2006,The Hard Corps,"Action, Thriller",R,5.3/10,12000000,0,150,Unwatched,,
1988,Black Eagle,"Action, Drama",R,3.7/10,3000000,0,133,Unwatched,,
1995,Sudden Death,"Action, Crime, Thriller",R,5.7/10,35000000,22000000,151,Unwatched,,
2016,Kickboxer: Vengeance,Action,Unrated,5.0/10,17000000,0,130,Unwatched,,
2007,Until Death,"Action, Crime, Drama",R,6.0/10,15000000,0,141,Unwatched,,
1992,Universal Soldier,"Action, Sci-Fi, Thriller",R,6.0/10,23000000,36299898,142,Unwatched,,
1989,Cyborg,"Action, Sci-Fi, Thriller",R,5.0/10,500000,10166459,126,Unwatched,,
2003,In Hell,"Action, Thriller, Drama",R,6.2/10,17000000,0,138,Unwatched,,
1991,Double Impact,"Action, Crime",R,5.5/10,15000000,30102717,150,Unwatched,,
1986,"No Retreat, No Surrender","Action, Crime, Drama",PG,5.6/10,0,4662137,125,Unwatched,,
2011,Beur sur la ville,"Comedy, Crime",Unrated,4.7/10,0,0,139,Unwatched,,
2015,Pound of Flesh,"Action, Thriller",R,5.1/10,7500000,0,144,Unwatched,,
2012,The Expendables 2,"Action, Adventure, Thriller",R,6.7/10,100000000,85017401,143,Unwatched,,
